sex,year,age,mean_ghq
female,2003,63,1.4146341463414633
female,2003,64,1.5232558139534884
female,2003,65,1.4782608695652173
female,2003,66,2.176470588235294
female,2003,67,2.111111111111111
female,2003,68,1.302325581395349
female,2003,69,2.121212121212121
female,2003,70,1.2564102564102564
female,2003,71,1.7560975609756098
female,2003,72,1
female,2003,73,1.8
female,2003,74,2.6710526315789473
female,2003,75,1.9268292682926829
female,2003,76,2.1481481481481484
female,2003,77,2.5942028985507246
female,2003,78,2.32
female,2003,79,2.3333333333333335
female,2003,80,2.5306122448979593
female,2003,81,1.951219512195122
female,2003,82,2.0892857142857144
female,2003,83,2.272727272727273
female,2003,84,1.7777777777777777
female,2003,85,2.590909090909091
female,2003,86,3
female,2003,87,2.1333333333333333
female,2003,88,3.769230769230769
female,2003,89,2
female,2003,90,4.555555555555555
female,2003,91,2.142857142857143
female,2003,92,2.6
female,2003,93,1.25
female,2003,94,0.3333333333333333
female,2003,95,2
female,2003,96,1
female,2003,97,10
female,2003,98,NaN
female,2003,99,NaN
female,2004,15,1.962962962962963
female,2004,16,2.006802721088435
female,2004,17,2.22962962962963
female,2004,18,2.3603603603603602
female,2004,19,2.376146788990826
female,2004,20,2.203883495145631
female,2004,21,2.4586466165413534
female,2004,22,2.3789473684210525
female,2004,23,2.1206896551724137
female,2004,24,1.7818181818181817
female,2004,25,2.253846153846154
female,2004,26,2.0701754385964914
female,2004,27,1.856115107913669
female,2004,28,1.51
female,2004,29,2.1640625
female,2004,30,2.0826446280991737
female,2004,31,2.125
female,2004,32,2.0141843971631204
female,2004,33,2.337748344370861
female,2004,34,1.6865671641791045
female,2004,35,2.2781456953642385
female,2004,36,2.5555555555555554
female,2004,37,2.4355828220858897
female,2004,38,2.1476510067114094
female,2004,39,2.1965317919075145
female,2004,40,2.069620253164557
female,2004,41,2.1349693251533743
female,2004,42,2.4217687074829932
female,2004,43,2.4100719424460433
female,2004,44,2.164383561643836
female,2004,45,2.2183098591549295
female,2004,46,2.2941176470588234
female,2004,47,2.0084745762711864
female,2004,48,2.1864406779661016
female,2004,49,2.391304347826087
female,2004,50,1.859375
female,2004,51,2.4504504504504503
female,2004,52,2.1147540983606556
female,2004,53,2.523076923076923
female,2004,54,1.6826923076923077
female,2004,55,2.338235294117647
female,2004,56,2.409448818897638
female,2004,57,2.4785714285714286
female,2004,58,1.886178861788618
female,2004,59,1.8130081300813008
female,2004,60,2.0970873786407767
female,2004,61,2.141509433962264
female,2004,62,2.3333333333333335
female,2004,63,1.4782608695652173
female,2004,64,1.7564102564102564
female,2004,65,1.4942528735632183
female,2004,66,1.7142857142857142
female,2004,67,2.025
female,2004,68,2.5256410256410255
female,2004,69,1.6746987951807228
female,2004,70,2.0869565217391304
female,2004,71,1.486842105263158
female,2004,72,2.0675675675675675
female,2004,73,0.9583333333333334
female,2004,74,1.791044776119403
female,2004,75,2.4
female,2004,76,2.1
female,2004,77,1.9615384615384615
female,2004,78,2.1746031746031744
female,2004,79,2.129032258064516
female,2004,80,2.4827586206896552
female,2004,81,2.5686274509803924
female,2004,82,2.4545454545454546
female,2004,83,2.276595744680851
female,2004,84,2.340909090909091
female,2004,85,2.380952380952381
female,2004,86,2.5
female,2004,87,4.470588235294118
female,2004,88,3.1538461538461537
female,2004,89,3.066666666666667
female,2004,90,1.6666666666666667
female,2004,91,6
female,2004,92,4
female,2004,93,3.5
female,2004,94,0.3333333333333333
female,2004,95,0.3333333333333333
female,2004,96,8
female,2004,97,3.5
female,2004,98,8
female,2005,15,2
female,2005,16,1.872340425531915
female,2005,17,1.8957055214723926
female,2005,18,2.5153846153846153
female,2005,19,2.4
female,2005,20,2.3739837398373984
female,2005,21,2.6610169491525424
female,2005,22,2.116279069767442
female,2005,23,2.49438202247191
female,2005,24,2.327731092436975
female,2005,25,2.255813953488372
female,2005,26,1.7589285714285714
female,2005,27,2.5793650793650795
female,2005,28,1.8888888888888888
female,2005,29,2
female,2005,30,2.0172413793103448
female,2005,31,1.8181818181818181
female,2005,32,2.28125
female,2005,33,1.8169014084507042
female,2005,34,2.359154929577465
female,2005,35,2.335570469798658
female,2005,36,2.732394366197183
female,2005,37,2.0833333333333335
female,2005,38,2.530201342281879
female,2005,39,1.725
female,2005,40,2.4775280898876404
female,2005,41,1.80625
female,2005,42,2.5714285714285716
female,2005,43,2.576642335766423
female,2005,44,2.3768115942028984
female,2005,45,2.767605633802817
female,2005,46,2.124087591240876
female,2005,47,2.15
female,2005,48,2.5267857142857144
female,2005,49,1.8968253968253967
female,2005,50,2.019607843137255
female,2005,51,2.5984848484848486
female,2005,52,2.3157894736842106
female,2005,53,2.5277777777777777
female,2005,54,2.294573643410853
female,2005,55,2.3069306930693068
female,2005,56,2.1707317073170733
female,2005,57,3.1374045801526718
female,2005,58,2.3846153846153846
female,2005,59,2.185840707964602
female,2005,60,1.6356589147286822
female,2005,61,2.5520833333333335
female,2005,62,2.118811881188119
female,2005,63,1.8909090909090909
female,2005,64,1.6702127659574468
female,2005,65,1.9189189189189189
female,2005,66,1.4482758620689655
female,2005,67,1.548780487804878
female,2005,68,1.9871794871794872
female,2005,69,1.8507462686567164
female,2005,70,1.5595238095238095
female,2005,71,2.1690140845070425
female,2005,72,1.608695652173913
female,2005,73,2.391304347826087
female,2005,74,1.1830985915492958
female,2005,75,2.629032258064516
female,2005,76,2.8676470588235294
female,2005,77,1.75
female,2005,78,1.9565217391304348
female,2005,79,2.7142857142857144
female,2005,80,2.593220338983051
female,2005,81,2.076923076923077
female,2005,82,2.7804878048780486
female,2005,83,3.066666666666667
female,2005,84,2.641025641025641
female,2005,85,2.1794871794871793
female,2005,86,1.8888888888888888
female,2005,87,2.7777777777777777
female,2005,88,3
female,2005,89,2.642857142857143
female,2005,90,3.6
female,2005,91,1.4
female,2005,92,4.25
female,2005,93,5.5
female,2005,94,6
female,2005,95,1.5
female,2005,96,0
female,2005,97,3
female,2005,98,3.5
female,2005,99,3
female,2005,NA,0
female,2006,15,1.95
female,2006,16,2.0921985815602837
female,2006,17,2.213793103448276
female,2006,18,2.423357664233577
female,2006,19,2.079646017699115
female,2006,20,2.135593220338983
female,2006,21,2.658119658119658
female,2006,22,2.1981981981981984
female,2006,23,2.390625
female,2006,24,2.453488372093023
female,2006,25,2.5172413793103448
female,2006,26,1.908256880733945
female,2006,27,2.0353982300884956
female,2006,28,2
female,2006,29,1.9699248120300752
female,2006,30,1.5384615384615385
female,2006,31,1.5041322314049588
female,2006,32,2.15
female,2006,33,2.053435114503817
female,2006,34,2.5968992248062017
female,2006,35,2.3216783216783217
female,2006,36,2.0434782608695654
female,2006,37,2.585185185185185
female,2006,38,2.1338028169014085
